TRACK_SK,TRACK_ID,TRACK_TITLE,IS_CAREER_FLAG,PROGRAMMING_LANGUAGE_SK,PREDOMINANT_DIFFICULTY_SK,RAW_COURSE_DIFFICULTY_LEVELS,RAW_COURSE_TITLES,RAW_INSTRUCTORS,RAW_PROGRAMMING_LANGUAGES
85,85,Python Data Fundamentals,false,2,1,"1,2","Data Manipulation with pandas,Exploratory Data Analysis in Python,Intermediate Python,Introduction to Data Visualization with Seaborn,Introduction to Python,Introduction to Statistics in Python,Joining Data with pandas","Aaren Stubberfield,DataCamp Content Creator,George Boorman,Hugo Bowne-Anderson,Izzy Weber,Maggie Matsui,Richie Cotton",python
86,86,Python Developer,true,2,3,"1,2,3","Data Structures and Algorithms in Python,Developing Python Packages,Intermediate Git,Intermediate Object-Oriented Programming in Python,Introduction to Git,Introduction to Testing in Python,Web Scraping in Python","Alexander Levin,George Boorman,Jake Roach,James Fulton,Miriam Antona,Thomas Laetsch","python,shell"
87,87,Python Programming,false,2,2,"1,2,3","Introduction to Object-Oriented Programming in Python,Introduction to Testing in Python,Software Engineering Principles in Python,Writing Efficient Python Code","Adam Spannbauer,Alexander Levin,George Boorman,Logan Thomas",python
88,88,Python Programming Fundamentals,false,2,1,"1,2","Data Types in Python,Intermediate Python for Developers,Introduction to Python for Developers,Python Toolbox","George Boorman,Hugo Bowne-Anderson,Jason Myers",python
89,89,Python Programming Toolbox,false,2,2,"1,2,3","Data Structures and Algorithms in Python,Regular Expressions in Python,Working with Dates and Times in Python","DataCamp Content Creator,Maria Eugenia Inzaugarat,Miriam Antona",python
90,90,Quantitative Analyst  in R,true,1,2,"1,2","ARIMA Models in R,Bond Valuation and Analysis in R,Credit Risk Modeling in R,Financial Trading in R,Forecasting in R,Importing and Managing Financial Data in R,Intermediate Portfolio Analysis in R,Intermediate R for Finance,Introduction to Portfolio Analysis in R,Introduction to R for Finance,Manipulating Time Series Data in R,Quantitative Risk Management in R,Time Series Analysis in R,Visualizing Time Series Data in R","Alexander J. McNeil,Arnaud Amsellem,Clifford Ang,David S. Matteson,David Stoffer,Harrison Brown,Ilya Kipnis,Joshua Ulrich,Kris Boudt,Lore Dirick,Rob J. Hyndman,Ross Bennett",r
91,91,R Developer,true,1,1,"1,2,3","Data Manipulation with dplyr,Defensive R Programming,Developing R Packages,Foundations of Functional Programming with purrr,Intermediate Git,Intermediate R,Introduction to Git,Introduction to R,Introduction to Shell,Introduction to Writing Functions in R,Introduction to the Tidyverse,Object-Oriented Programming with S3 and R6 in R,Parallel Programming in R,Writing Efficient R Code","Colin Gillespie,DataCamp Content Creator,David Robinson,Filip Schouwenaars,George Boorman,James Chapman,Jasmin Ludolf,Jonathan Cornelissen,Nabeel Imam,Richie Cotton","r,shell"
92,92,R Programming Fundamentals,false,1,1,"1,2,3","Intermediate R,Introduction to R,Introduction to Writing Functions in R,Object-Oriented Programming with S3 and R6 in R,Writing Efficient R Code","Colin Gillespie,Filip Schouwenaars,Jonathan Cornelissen,Richie Cotton",r
93,93,Reinforcement Learning in Python,false,2,3,3,"Deep Reinforcement Learning in Python,Reinforcement Learning from Human Feedback (RLHF),Reinforcement Learning with Gymnasium in Python","Fouad Trad,Mina Parham,Timothée Carayol",python
94,94,Responsible AI Foundations,false,1,1,"1,2","AI Ethics,AI Security and Risk Management,Artificial Intelligence Governance,Responsible AI Data Management","Alexandre T'Kint,Angeline Corvaglia,Joe Franklin,Maria Prokofieva,Simla Sivanandan",r
95,95,SQL Fundamentals,false,3,1,"1,2","Data Manipulation in SQL,Database Design,Functions for Manipulating Data in PostgreSQL,Intermediate SQL,Introduction to SQL,Joining Data in SQL,PostgreSQL Summary Stats and Window Functions","Brian Piccolo,Fernando Gonzalez Prada,Izzy Weber,Jasmin Ludolf,Lis Sulmont,Maham Khan,Michel Semaan,Mona Khalil",sql
96,96,SQL Server Developer,true,3,2,"1,2","Building and Optimizing Triggers in SQL Server,Database Design,Functions for Manipulating Data in SQL Server,Improving Query Performance in SQL Server,Intermediate SQL Server,Introduction to Relational Databases in SQL,Introduction to SQL Server,Time Series Analysis in SQL Server,Transactions and Error Handling in SQL Server,Writing Functions and Stored Procedures in SQL Server","Ana Voicu,DataCamp Content Creator,Dean Smith,Florin Angelescu,Ginger Grant,Lis Sulmont,Maham Khan,Meghan Kwartler,Miriam Antona,Timo Grossenbacher",sql
97,97,SQL Server Fundamentals,false,3,2,"1,2","Functions for Manipulating Data in SQL Server,Intermediate SQL Server,Introduction to SQL Server,Joining Data in SQL,Time Series Analysis in SQL Server","Ana Voicu,DataCamp Content Creator,Ginger Grant,Maham Khan",sql
98,98,SQL Server for Database Administrators,false,3,2,"1,2","Building and Optimizing Triggers in SQL Server,Database Design,Improving Query Performance in SQL Server,Introduction to Relational Databases in SQL,Transactions and Error Handling in SQL Server,Writing Functions and Stored Procedures in SQL Server","Dean Smith,Florin Angelescu,Lis Sulmont,Meghan Kwartler,Miriam Antona,Timo Grossenbacher",sql
99,99,SQL for Business Analysts,false,3,2,2,"Analyzing Business Data in SQL,Exploratory Data Analysis in SQL,Reporting in SQL","Christina Maimone,Michel Semaan,Tyler Pernes",sql
100,100,SQL for Database Administrators,false,3,1,"1,2","Creating PostgreSQL Databases,Database Design,Improving Query Performance in PostgreSQL,Introduction to Relational Databases in SQL","Amy McCarty,Darryl Reeves Ph.D,Lis Sulmont,Timo Grossenbacher",sql
101,101,Shiny Fundamentals in R,false,1,2,"1,2","Building Dashboards with flexdashboard,Building Dashboards with shinydashboard,Building Web Applications with Shiny in R,Case Studies: Building Web Applications with Shiny in R","Dean Attali,Elaine McVey,Kee Seng Png,Ramnath Vaidyanathan,kaelen medeiros",r
102,102,Snowflake Foundations,false,3,2,"1,2","Introduction to Data Modeling in Snowflake,Introduction to Snowflake,Introduction to Snowflake SQL","Danny Hong,George Boorman,Margarita Torres",sql
103,103,Statistical Inference in R,false,1,3,"2,3","Foundations of Inference in R,Inference for Categorical Data in R,Inference for Linear Regression in R,Inference for Numerical Data in R","Andrew Bray,Jo Hardin,Mine Cetinkaya-Rundel",r
104,104,Statistician in R,true,1,2,"1,2,3","Analyzing Survey Data in R,Experimental Design in R,Factor Analysis in R,Foundations of Inference in R,Foundations of Probability in R,Fundamentals of Bayesian Data Analysis in R,Hierarchical and Mixed Effects Models in R,Hypothesis Testing in R,Intermediate Regression in R,Introduction to Regression in R,Introduction to Statistics in R,Sampling in R,Survival Analysis in R","David Robinson,Heidi Seibold,Jennifer Brussow,Jo Hardin,Joanne Xiong,Kelly McConville,Maggie Matsui,Rasmus Bååth,Richard Erickson,Richie Cotton",r
105,105,Statistics Fundamentals  in Python,false,2,2,2,"Hypothesis Testing in Python,Intermediate Regression with statsmodels in Python,Introduction to Regression with statsmodels in Python,Introduction to Statistics in Python,Sampling in Python","James Chapman,Maarten Van den Broeck,Maggie Matsui",python
106,106,Statistics Fundamentals in R,false,1,2,2,"Hypothesis Testing in R,Intermediate Regression in R,Introduction to Regression in R,Introduction to Statistics in R,Sampling in R","Maggie Matsui,Richie Cotton",r
107,107,Supervised Machine Learning in Python,false,2,2,"2,3","Ensemble Methods in Python,Extreme Gradient Boosting with XGBoost,Hyperparameter Tuning in Python,Linear Classifiers in Python,Machine Learning with Tree-Based Models in Python,Supervised Learning with scikit-learn","Alex Scriven,Elie Kawerk,George Boorman,Mike Gelbart,Román de las Heras,Sergey Fogelson",python
108,108,Supervised Machine Learning in R,false,1,2,"2,3","Hyperparameter Tuning in R,Intermediate Regression in R,Machine Learning in the Tidyverse,Machine Learning with Tree-Based Models in R,Modeling with tidymodels in R,Support Vector Machines in R","David Svancer,Dmitriy Gorenshteyn,Kailash Awati,Richie Cotton,Sandro Raabe,Shirin  Elsinghorst (formerly Glander)",r
109,109,Tableau Fundamentals,false,2,1,1,"Analyzing Data in Tableau,Connecting Data in Tableau,Creating Dashboards in Tableau,Introduction to Tableau","Carl Rosseel,Hadrien Lacroix,Lis Sulmont,Maarten Van den Broeck,Sara Billen",python
110,110,Text Mining in R,false,1,2,2,"Introduction to Text Analysis in R,Sentiment Analysis in R,String Manipulation with stringr in R,Text Mining with Bag-of-Words in R","Charlotte Wickham,Maham Khan,Ted Kwartler",r
111,111,Tidyverse Fundamentals in R,false,1,1,"1,2","Categorical Data in the Tidyverse,Communicating with Data in the Tidyverse,Introduction to the Tidyverse,Modeling with Data in the Tidyverse,Reshaping Data with tidyr","Albert Y. Kim,David Robinson,Emily Robinson,Jeroen Boeye,Timo Grossenbacher",r
112,112,Time Series  in R,false,1,2,2,"ARIMA Models in R,Forecasting in R,Manipulating Time Series Data in R,Time Series Analysis in R,Visualizing Time Series Data in R","Arnaud Amsellem,David S. Matteson,David Stoffer,Harrison Brown,Rob J. Hyndman",r
113,113,Time Series in Python,false,2,2,"2,3","ARIMA Models in Python,Machine Learning for Time Series Data in Python,Manipulating Time Series Data in Python,Time Series Analysis in Python,Visualizing Time Series Data in Python","Chris Holdgraf,James Fulton,Rob Reider,Stefan Jansen,Thomas Vincent",python
114,114,Understanding Data Topics,false,1,1,1,"Understanding Cloud Computing,Understanding Data Engineering,Understanding Data Science,Understanding Data Visualization,Understanding Machine Learning","Hadrien Lacroix,Lis Sulmont,Richie Cotton,Sara Billen",r
115,115,dbt Fundamentals,false,2,2,"2,3","Intermediate dbt,Introduction to dbt",Mike Metzger,python
